latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
8.86698,78.08605,332.97,0.41,0.45,2026-08-24,0839,N,nominal,2.0NRT,286.72,3.33,D
9.4129,80.40137,341.51,0.59,0.52,2026-08-24,0839,N,nominal,2.0NRT,294.88,12.45,D
9.41015,80.39861,349.18,0.59,0.53,2026-08-24,0839,N,nominal,2.0NRT,295.47,11.22,D
9.42267,80.38055,330.97,0.58,0.52,2026-08-24,0839,N,nominal,2.0NRT,293.91,3.37,D
9.61269,80.30055,334.09,0.58,0.52,2026-08-24,0839,N,nominal,2.0NRT,294.89,1.85,D
9.61047,80.29727,338.24,0.58,0.52,2026-08-24,0839,N,nominal,2.0NRT,296.02,3.54,D
16.55141,82.59755,347.47,0.51,0.66,2026-08-24,0841,N,nominal,2.0NRT,279.29,7.24,D
21.00341,56.53176,339.17,0.61,0.71,2026-08-24,0843,N,nominal,2.0NRT,303.04,0.87,D
21.00179,56.52942,337.84,0.61,0.71,2026-08-24,0843,N,nominal,2.0NRT,302.62,1.01,D
21.93905,57.07214,345.57,0.54,0.68,2026-08-24,0843,N,nominal,2.0NRT,305.91,2.01,D
22.40496,56.98921,338.06,0.53,0.67,2026-08-24,0843,N,nominal,2.0NRT,303.5,8.22,D
22.88013,55.92736,349.82,0.6,0.71,2026-08-24,0843,N,nominal,2.0NRT,301.15,8.44,D
22.87806,55.92522,344.56,0.6,0.71,2026-08-24,0843,N,nominal,2.0NRT,300.52,15.72,D
23.27709,54.25642,367,0.74,0.76,2026-08-24,0843,N,high,2.0NRT,302.61,20.79,D
24.50662,56.60555,332.1,0.51,0.66,2026-08-24,0843,N,low,2.0NRT,302.92,3.07,D
28.42584,69.70153,333.73,0.4,0.37,2026-08-24,0845,N,nominal,2.0NRT,303.62,3.88,D
29.95974,72.17165,336.35,0.51,0.41,2026-08-24,0845,N,nominal,2.0NRT,300.78,3.61,D
27.16994,56.0541,367,0.48,0.64,2026-08-24,0845,N,high,2.0NRT,312.41,13.92,D
27.16876,56.04935,367,0.48,0.64,2026-08-24,0845,N,high,2.0NRT,312.13,13.92,D
30.4505,74.18115,332.79,0.44,0.46,2026-08-24,0845,N,nominal,2.0NRT,297.29,4.16,D
30.63301,73.60488,331.62,0.41,0.45,2026-08-24,0845,N,nominal,2.0NRT,298.88,1.26,D
30.89104,73.20267,332.43,0.39,0.44,2026-08-24,0845,N,low,2.0NRT,306.76,9.8,D
30.80869,71.99914,339.51,0.51,0.41,2026-08-24,0845,N,nominal,2.0NRT,300.96,6.94,D
31.08036,74.34518,332.85,0.46,0.47,2026-08-24,0845,N,nominal,2.0NRT,297.56,2.38,D
31.40357,72.55518,338.43,0.56,0.43,2026-08-24,0845,N,nominal,2.0NRT,299.32,3.16,D
31.51264,72.28911,335.05,0.54,0.42,2026-08-24,0845,N,nominal,2.0NRT,301.76,7.14,D
