latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
24.15573,101.53216,345.65,0.39,0.36,2026-08-24,0627,N21,nominal,2.0NRT,296.46,10.85,D
26.56559,101.67655,332.03,0.4,0.37,2026-08-24,0627,N21,low,2.0NRT,305.44,4.75,D
26.56504,101.67266,331.65,0.4,0.37,2026-08-24,0627,N21,low,2.0NRT,305.14,4.75,D
26.5778,101.66631,341.85,0.4,0.37,2026-08-24,0627,N21,nominal,2.0NRT,303.25,4.48,D
26.61929,101.59814,329.28,0.4,0.37,2026-08-24,0627,N21,nominal,2.0NRT,298.98,3.16,D
26.62262,101.59755,331.91,0.4,0.37,2026-08-24,0627,N21,nominal,2.0NRT,299.38,7.01,D
28.61862,100.68315,331.74,0.39,0.36,2026-08-24,0629,N21,nominal,2.0NRT,290.86,5.01,D
28.49744,97.02336,326.78,0.43,0.38,2026-08-24,0629,N21,nominal,2.0NRT,292.73,5.76,D
29.08442,88.01238,326.26,0.43,0.62,2026-08-24,0629,N21,nominal,2.0NRT,296.97,3.37,D
34.46972,100.23947,339.74,0.41,0.37,2026-08-24,0629,N21,nominal,2.0NRT,301.95,6.4,D
34.46912,100.23508,335.37,0.41,0.37,2026-08-24,0629,N21,nominal,2.0NRT,301.39,7.44,D
38.21998,101.74717,335.32,0.5,0.41,2026-08-24,0629,N21,nominal,2.0NRT,307.57,3.67,D
38.44528,100.92467,336.07,0.47,0.4,2026-08-24,0629,N21,nominal,2.0NRT,307.17,2.27,D
38.4962,100.90871,338.6,0.47,0.4,2026-08-24,0629,N21,nominal,2.0NRT,305.44,3.87,D
39.80815,98.30447,334.07,0.4,0.37,2026-08-24,0629,N21,low,2.0NRT,307.06,3.18,D
39.80449,78.51099,336.46,0.72,0.76,2026-08-24,0631,N21,nominal,2.0NRT,298.55,12.56,D
37.03,62.416,346.91,0.57,0.52,2026-08-24,0811,N21,low,2.0NRT,321.27,22.56,D
37.04516,61.21384,353.4,0.33,0.55,2026-08-24,0811,N21,nominal,2.0NRT,313.21,5.58,D
37.05003,61.21197,345.18,0.33,0.55,2026-08-24,0811,N21,nominal,2.0NRT,312.45,5.58,D
37.15285,61.30241,367,0.32,0.55,2026-08-24,0811,N21,high,2.0NRT,310.57,8.58,D
37.17048,61.16074,344.7,0.33,0.55,2026-08-24,0811,N21,nominal,2.0NRT,314.28,5.05,D
37.34292,60.89155,339.48,0.34,0.56,2026-08-24,0811,N21,low,2.0NRT,311.24,4.16,D
37.34875,60.89327,334.65,0.34,0.56,2026-08-24,0811,N21,low,2.0NRT,309.17,4.16,D
37.57331,61.68063,338.43,0.61,0.53,2026-08-24,0811,N21,nominal,2.0NRT,312.17,2.09,D
37.38767,59.95174,346.73,0.38,0.59,2026-08-24,0811,N21,nominal,2.0NRT,314.93,5.85,D
37.91181,59.97929,352.9,0.37,0.58,2026-08-24,0811,N21,nominal,2.0NRT,319.44,8.01,D
37.91199,59.97858,353.17,0.37,0.58,2026-08-24,0811,N21,nominal,2.0NRT,319.63,4.12,D
38.77496,56.81954,336.01,0.5,0.66,2026-08-24,0811,N21,low,2.0NRT,309.97,25.64,D
38.64701,54.28111,347.28,0.69,0.74,2026-08-24,0811,N21,nominal,2.0NRT,313.46,8.54,D
38.67983,54.31527,344.54,0.68,0.74,2026-08-24,0811,N21,nominal,2.0NRT,313.94,8.56,D
38.65176,54.28367,340.05,0.68,0.74,2026-08-24,0811,N21,low,2.0NRT,312.9,4.38,D
6.53069,81.11274,344.58,0.4,0.37,2026-08-24,0801,N21,nominal,2.0NRT,303.54,6.71,D
6.5528,80.98484,341,0.4,0.37,2026-08-24,0801,N21,nominal,2.0NRT,303.24,5.87,D
